Format Version,1.21,Take Name,BengtAnnelieBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.42.55.331 AM,Total Frames in Take,36475,Total Exported Frames,36475,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:561,Unlabeled:561,Unlabeled:561,Unlabeled:562,Unlabeled:562,Unlabeled:562,Unlabeled:552,Unlabeled:552,Unlabeled:552,Unlabeled:555,Unlabeled:555,Unlabeled:555
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
189,1.575000,-1.713945,0.908439,2.070767,-1.096462,0.917717,2.606985,,,,,,,,,
190,1.583333,-1.712240,0.909213,2.070979,-1.097241,0.916385,2.607680,,,,,,,,,
191,1.591667,-1.710536,0.909961,2.071152,-1.098091,0.915150,2.608383,,,,,,,,,
192,1.600000,-1.708816,0.910671,2.071359,-1.098992,0.913930,2.609062,,,,,,,,,
193,1.608333,-1.707279,0.911363,2.071653,-1.100015,0.912718,2.609709,,,,,,,,,
194,1.616667,-1.705687,0.912049,2.072034,-1.101372,0.911613,2.610526,,,,,,,,,
195,1.625000,-1.704241,0.912679,2.072517,-1.102471,0.910445,2.611136,,,,,,,,,
196,1.633333,-1.702931,0.913333,2.073087,-1.103617,0.909268,2.611697,,,,,,,,,
197,1.641667,-1.701664,0.913986,2.073812,-1.104804,0.908124,2.612187,,,,,,,,,
198,1.650000,-1.700479,0.914689,2.074545,-1.106107,0.906909,2.612666,,,,,,,,,
199,1.658333,-1.699326,0.915425,2.075370,-1.107418,0.905808,2.613240,,,,,,,,,
200,1.666667,-1.698222,0.916268,2.076245,-1.108763,0.904813,2.613836,,,,,,,,,
201,1.675000,-1.697130,0.917151,2.077122,-1.110131,0.903957,2.614339,,,,,,,,,
202,1.683333,-1.696025,0.918123,2.078040,-1.111570,0.903254,2.614901,,,,,,,,,
203,1.691667,-1.694767,0.919239,2.078956,-1.113022,0.902682,2.615393,,,,,,,,,
204,1.700000,-1.693413,0.920346,2.079670,-1.114397,0.902213,2.615916,,,,,,,,,
205,1.708333,-1.692080,0.921572,2.080456,-1.115757,0.901856,2.616439,,,,,,,,,
206,1.716667,-1.690710,0.922820,2.081297,-1.116974,0.901558,2.617030,,,,,,,,,
207,1.725000,-1.689250,0.924050,2.082030,-1.118130,0.901374,2.617752,,,,,,,,,
208,1.733333,-1.687779,0.925428,2.082806,-1.119184,0.901263,2.618524,,,,,,,,,
209,1.741667,-1.686246,0.926756,2.083592,-1.120194,0.901185,2.619383,,,,,,,,,
210,1.750000,-1.684694,0.928093,2.084358,-1.121435,0.901059,2.620414,,,,,,,,,
211,1.758333,-1.683095,0.929489,2.085046,-1.122579,0.901045,2.621325,,,,,,,,,
212,1.766667,-1.681324,0.930526,2.085321,-1.123712,0.901090,2.622230,,,,,,,,,
213,1.775000,-1.679699,0.931918,2.086133,-1.124769,0.901178,2.623070,,,,,,,,,
214,1.783333,-1.678035,0.933235,2.086923,-1.125788,0.901350,2.623873,,,,,,,,,
215,1.791667,-1.676444,0.934577,2.087771,-1.126719,0.901547,2.624691,,,,,,,,,
216,1.800000,-1.674838,0.935932,2.088531,-1.127680,0.901776,2.625530,,,,,,,,,
217,1.808333,-1.673271,0.937321,2.089334,-1.128670,0.902069,2.626452,,,,,,,,,
218,1.816667,-1.671702,0.938689,2.090175,-1.129593,0.902325,2.627391,,,,,,,,,
219,1.825000,-1.670108,0.940059,2.091070,-1.130501,0.902622,2.628276,,,,,,,,,
220,1.833333,-1.668484,0.941496,2.091945,-1.131338,0.902994,2.629107,,,,,,,,,
221,1.841667,-1.666859,0.942948,2.092845,-1.132058,0.903428,2.629897,,,,,,,,,
222,1.850000,-1.665245,0.944441,2.093761,-1.132716,0.903849,2.630643,,,,,,,,,
223,1.858333,-1.663609,0.945974,2.094738,-1.133201,0.904239,2.631312,,,,,,,,,
224,1.866667,-1.661968,0.947546,2.095750,-1.133553,0.904693,2.631932,,,,,,,,,
225,1.875000,-1.660313,0.949146,2.096801,-1.133829,0.905147,2.632413,,,,,,,,,
226,1.883333,-1.658614,0.950412,2.097454,-1.134059,0.905649,2.632764,,,,,,,,,
